date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:17:01	324/324	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Jan%202017%2014:17:02%20GMT	http://120.72.91.53/themeforest/event_planning/css/owl.video.play.png	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/css/owl.video.play.png	(from http://120.72.91.53/themeforest/event_planning/css/owl.carousel.css)
15:17:05	45640/45640	---M--	200	added ('OK')	text/html	etag:%22b248-544cd6afb3d37%22	http://120.72.91.53/themeforest/event_planning/fonts/untitled-font-20.ttf	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/fonts/untitled-font-20.html	(from http://120.72.91.53/themeforest/event_planning/css/styles.css)
15:17:07	45840/45840	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b310-544cd6afb3d37%22	http://120.72.91.53/themeforest/event_planning/fonts/untitled-font-20.eot	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/fonts/untitled-font-20.eot	(from http://120.72.91.53/themeforest/event_planning/css/styles.css)
15:17:07	112036/112036	---M--	200	added ('OK')	image/svg+xml	etag:%221b5a4-544cd6afb0e57%22	http://120.72.91.53/themeforest/event_planning/fonts/untitled-font-20.svg	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/fonts/untitled-font-20.svg	(from http://120.72.91.53/themeforest/event_planning/css/styles.css)
15:17:08	1173/1173	---M--	200	added ('OK')	image/png	etag:%22495-544cd6b038a37%22	http://120.72.91.53/themeforest/event_planning/images/search-icon.png	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/search-icon.png	(from http://120.72.91.53/themeforest/event_planning/css/docs.css)
15:17:08	30616/30616	---M--	200	added ('OK')	application/x-font-woff	etag:%227798-544cd6afaef17%22	http://120.72.91.53/themeforest/event_planning/fonts/untitled-font-20.woff	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/fonts/untitled-font-20.woff	(from http://120.72.91.53/themeforest/event_planning/css/styles.css)
15:17:09	1035/1035	---M--	200	added ('OK')	image/png	etag:%2240b-544cd6b035b57%22	http://120.72.91.53/themeforest/event_planning/images/footer-arrow.png	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/footer-arrow.png	(from http://120.72.91.53/themeforest/event_planning/css/docs.css)
15:17:09	45840/45840	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22b310-544cd6afb3d37%22	http://120.72.91.53/themeforest/event_planning/fonts/untitled-font-20.eot?	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/fonts/untitled-font-20d41d.eot	(from http://120.72.91.53/themeforest/event_planning/css/styles.css)
15:17:10	982/982	---M--	200	added ('OK')	image/png	etag:%223d6-544cd6afc94f7%22	http://120.72.91.53/themeforest/event_planning/images/footer-arrowHover.png	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/footer-arrowHover.png	(from http://120.72.91.53/themeforest/event_planning/css/docs.css)
15:17:10	1281/1281	---M--	200	added ('OK')	image/png	etag:%22501-544cd6b0128d7%22	http://120.72.91.53/themeforest/event_planning/images/chack-img.png	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/chack-img.png	(from http://120.72.91.53/themeforest/event_planning/css/docs.css)
15:17:11	1023/1023	---M--	200	added ('OK')	image/png	etag:%223ff-544cd6b04f197%22	http://120.72.91.53/themeforest/event_planning/images/sign-upPoint-icon.png	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/sign-upPoint-icon.png	(from http://120.72.91.53/themeforest/event_planning/css/docs.css)
15:17:12	3157/3157	---M--	200	added ('OK')	image/png	etag:%22c55-544cd6b0399d7%22	http://120.72.91.53/themeforest/event_planning/images/star-img.png	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/star-img.png	(from http://120.72.91.53/themeforest/event_planning/css/docs.css)
15:17:12	1101/1101	---M--	200	added ('OK')	image/png	etag:%2244d-544cd6b0399d7%22	http://120.72.91.53/themeforest/event_planning/images/star-img2.png	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/star-img2.png	(from http://120.72.91.53/themeforest/event_planning/css/docs.css)
15:17:12	1294/1294	---M--	200	added ('OK')	image/png	etag:%2250e-544cd6b010997%22	http://120.72.91.53/themeforest/event_planning/images/chack-img2.png	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/chack-img2.png	(from http://120.72.91.53/themeforest/event_planning/css/docs.css)
15:17:13	1054/1054	---M--	200	added ('OK')	image/png	etag:%2241e-544cd6b035b57%22	http://120.72.91.53/themeforest/event_planning/images/vag-icon.png	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/vag-icon.png	(from http://120.72.91.53/themeforest/event_planning/css/docs.css)
15:17:14	1038/1038	---M--	200	added ('OK')	image/png	etag:%2240e-544cd6b03a977%22	http://120.72.91.53/themeforest/event_planning/images/nonVag-icon.png	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/nonVag-icon.png	(from http://120.72.91.53/themeforest/event_planning/css/docs.css)
15:17:16	1650/1650	---M--	200	added ('OK')	image/png	etag:%22672-544cd6afbba37%22	http://120.72.91.53/themeforest/event_planning/images/radio-img.png	C:/My%20Web%20Sites/test/120.72.91.53/themeforest/event_planning/images/radio-img.png	(from http://120.72.91.53/themeforest/event_planning/css/docs.css)
